lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
nacional;1. CONTRA LAS PERSONAS;236,010;226,761;212,804;183,590;161,406;186,110;177,165;174,217;166,431;223,893;281,713;274,655;286,446;300,654;297,488
nacional;1.1.-Homicidios dolosos/asesinatos;1,695;1,692;1,539;1,322;1,201;1,167;1,088;1,106;1,107;964;1,048;964;1,125;1,210;1,177
nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;349;333;326;293;298;331;289;307;294;302;323;302;364;385;401
nacional;1.2.-Lesiones;123,028;118,125;113,704;96,159;81,449;103,341;99,928;100,354;97,108;97,012;98,821;100,193;105,913;112,824;113,067
nacional;1.3.-Malos tratos ambito familiar;104,625;101,179;92,695;82,003;75,203;77,424;72,309;69,812;66,102;64,118;62,392;59,819;59,703;62,260;60,307
nacional;1.4.-Otros contra las personas;6,662;5,765;4,866;4,106;3,553;4,178;3,840;2,945;2,114;61,799;119,452;113,679;119,705;124,360;122,937
nacional;2. CONTRA LA LIBERTAD;166,499;159,113;143,861;139,867;125,010;125,685;120,919;119,031;115,493;78,815;42,953;43,322;44,476;45,131;42,376
nacional;2.1.-Malos tratos habituales en el ambito familiar;16,517;17,120;15,647;15,008;13,993;14,575;14,196;14,238;14,554;15,676;15,958;16,676;17,523;17,694;17,270
nacional;2.2.-Otros contra la libertad;149,982;141,993;128,214;124,859;111,017;111,110;106,723;104,793;100,939;63,139;26,995;26,646;26,953;27,437;25,106
nacional;3. LIBERTAD SEXUAL;22,846;21,825;19,013;17,016;13,174;15,319;13,782;11,692;10,844;9,869;9,468;8,923;9,008;9,892;9,957
nacional;3.1.-Agresion sexual;13,674;12,727;11,426;10,061;7,276;8,885;7,983;6,580;6,233;5,338;5,150;4,859;5,101;5,479;5,068
nacional;3.2.-Agresion sexual con penetracion;5,222;4,890;4,270;3,795;2,785;3,079;2,744;2,136;1,793;1,668;1,622;1,684;1,631;1,887;1,991
nacional;3.3.-Corrupcion de menores o incapacitados;431;389;384;347;350;369;268;400;368;432;386;320;278;253;345
nacional;3.4.-Pornografia de menores;913;909;707;739;762;866;892;767;621;748;625;508;569;715;953
nacional;3.5.-Otros contra la libertad sexual;2,606;2,910;2,226;2,074;2,001;2,120;1,895;1,809;1,829;1,683;1,685;1,552;1,429;1,558;1,600
nacional;4. RELACIONES FAMILIARES;7,586;7,611;7,567;7,410;6,831;7,288;7,630;7,915;8,043;9,814;10,506;10,331;10,424;9,087;7,877
nacional;5. PATRIMONIO;1,809,484;1,846,821;1,747,464;1,434,698;1,304,424;1,707,144;1,664,242;1,593,930;1,572,967;1,573,983;1,595,984;1,679,585;1,754,632;1,742,631;1,779,019
nacional;5.1.-Hurtos;648,963;665,622;642,276;493,479;420,950;700,453;706,072;712,398;711,507;715,469;727,800;770,296;790,281;786,704;785,635
nacional;5.2.-Robos con fuerza en las cosas;262,222;272,638;265,901;229,137;219,091;298,098;302,043;301,734;318,164;322,705;344,875;381,777;405,939;414,961;443,772
nacional;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;103,175;104,988;101,084;87,774;54,633;108,637;102,474;102,988;104,274;100,021;106,174;123,355;139,483;153,259;141,674
nacional;5.2.2.-Robos con fuerza en viviendas;81,094;84,721;86,515;75,501;72,380;98,326;107,166;105,095;113,299;115,302;120,783;127,444;126,425;100,780;111,656
nacional;5.2.3.-Robos con fuerza en establecimientos;31,439;35,072;31,552;27,198;31,237;32,363;33,129;35,059;37,619;35,959;37,962;39,940;41,559;41,250;48,958
nacional;5.3.-Robos con violencia o intimidacion;62,976;64,711;63,392;53,073;45,263;65,874;60,295;61,763;62,952;64,581;70,855;86,034;96,607;87,718;84,411
nacional;5.3.1.-Robos con violencia en via pública;42,764;44,406;43,100;35,726;30,162;25,916;24,681;27,561;28,900;28,949;31,830;38,975;45,144;38,831;42,238
nacional;5.3.2.-Robos con violencia en viviendas;3,934;3,844;3,669;3,477;3,208;3,223;3,233;3,389;3,521;3,929;4,697;6,306;6,912;5,450;4,950
nacional;5.3.3.-Robos con violencia en establecimientos;8,553;8,238;8,210;6,663;6,138;5,609;5,355;5,383;5,174;5,168;5,489;6,747;6,822;6,458;7,772
nacional;5.4.-Sustraccion de vehiculos;32,965;32,839;30,767;26,417;25,387;35,105;35,897;42,519;43,335;43,170;43,206;48,855;55,197;60,061;65,948
nacional;5.5.-Estafas;517,271;533,379;466,566;373,113;360,844;327,723;289,259;214,625;179,756;165,300;140,440;122,483;124,675;106,304;102,567
nacional;5.5.1.-Estafas informaticas;412,850;427,448;335,995;267,011;257,907;192,375;136,656;94,792;70,178;62,038;32,842;26,664;27,231;21,075;20,563
nacional;5.6.-Danos;210,805;209,299;213,694;201,828;180,429;219,424;213,815;214,246;214,709;215,519;218,166;226,619;246,355;254,361;266,291
nacional;5.7.-Contra la propiedad intelectual/industrial;1,801;1,451;1,217;1,176;930;1,807;2,205;1,622;1,889;2,047;2,608;3,260;2,884;2,643;3,619
nacional;5.8.-Blanqueo de capitales;808;516;411;343;310;295;272;260;262;290;230;243;199;171;182
nacional;5.9.-Otros contra el patrimonio;71,673;66,366;63,240;56,132;51,220;58,365;54,384;44,763;40,393;44,902;47,804;40,018;32,495;29,708;26,594
andalucia;1. CONTRA LAS PERSONAS;47,011;45,636;42,594;37,296;33,578;37,130;35,043;35,087;33,661;47,420;59,774;56,840;59,894;64,275;63,795
andalucia;1.1.-Homicidios dolosos/asesinatos;350;363;358;274;298;238;262;256;295;218;224;247;247;305;276
andalucia;1.1.1.-Homicidios dolosos/asesinatos consumados;82;71;74;55;61;82;72;49;68;65;69;65;68;85;78
andalucia;1.2.-Lesiones;25,781;24,848;23,218;19,996;17,412;20,624;19,547;20,068;19,149;19,400;20,038;19,956;20,923;22,084;22,742
andalucia;1.3.-Malos tratos ambito familiar;19,586;19,294;18,119;16,314;15,221;15,455;14,441;14,179;13,747;14,031;13,308;12,241;12,522;13,802;12,849
andalucia;1.4.-Otros contra las personas;1,294;1,131;899;712;647;813;793;584;470;13,771;26,204;24,396;26,202;28,084;27,928
andalucia;2. CONTRA LA LIBERTAD;35,299;32,765;28,618;27,291;26,108;25,751;24,513;24,427;23,184;14,587;7,364;7,773;7,671;7,145;6,570
andalucia;2.1.-Malos tratos habituales en el ambito familiar;2,918;3,007;2,858;2,806;2,717;2,752;2,671;2,857;2,703;2,708;2,981;3,579;3,477;2,776;2,488
andalucia;2.2.-Otros contra la libertad;32,381;29,758;25,760;24,485;23,391;22,999;21,842;21,570;20,481;11,879;4,383;4,194;4,194;4,369;4,082
andalucia;3. LIBERTAD SEXUAL;3,453;3,473;3,067;2,690;2,204;2,510;2,339;2,064;1,837;1,701;1,653;1,624;1,632;1,725;1,768
andalucia;3.1.-Agresion sexual;2,150;2,044;1,848;1,651;1,228;1,462;1,428;1,157;1,043;904;918;907;926;991;959
andalucia;3.2.-Agresion sexual con penetracion;626;604;512;451;370;401;314;273;263;242;203;235;265;288;279
andalucia;3.3.-Corrupcion de menores o incapacitados;68;74;84;68;74;92;63;104;64;98;95;87;47;64;75
andalucia;3.4.-Pornografia de menores;146;130;118;125;149;132;154;153;111;136;85;86;85;97;138
andalucia;3.5.-Otros contra la libertad sexual;463;621;505;395;383;423;380;377;356;321;352;309;309;285;317
andalucia;4. RELACIONES FAMILIARES;1,690;1,702;1,575;1,575;1,492;1,503;1,529;1,561;1,527;1,641;1,633;1,559;1,691;1,480;1,405
andalucia;5. PATRIMONIO;280,511;289,412;264,965;210,150;190,744;239,711;240,939;242,164;243,163;241,975;249,797;273,325;289,754;295,431;303,476
andalucia;5.1.-Hurtos;92,468;95,492;89,038;68,916;57,435;91,298;93,459;103,746;109,491;110,768;115,850;127,933;133,759;134,955;136,528
andalucia;5.2.-Robos con fuerza en las cosas;42,982;47,977;44,168;36,839;37,257;47,542;50,084;52,435;54,283;54,298;58,021;67,166;70,769;74,161;79,070
andalucia;5.2.1.-Robos con fuerza en las cosas en el interior de vehiculos;16,936;19,215;17,583;13,902;13,556;17,691;18,696;19,447;19,022;19,160;19,519;23,407;26,001;28,610;25,045
andalucia;5.2.2.-Robos con fuerza en viviendas;12,810;14,101;13,281;11,457;12,127;15,349;15,779;17,276;18,367;17,798;19,372;22,031;21,963;17,972;20,541
andalucia;5.2.3.-Robos con fuerza en establecimientos;5,267;5,953;5,362;4,786;5,317;6,935;7,192;7,303;7,772;7,348;7,599;7,951;8,092;8,025;10,205
andalucia;5.3.-Robos con violencia o intimidacion;7,417;7,676;7,335;5,911;5,187;7,302;7,093;7,668;7,431;7,283;8,291;10,531;11,673;11,867;12,194
andalucia;5.3.1.-Robos con violencia en via pública;4,779;5,028;4,843;3,871;3,253;4,714;4,592;5,116;5,051;5,016;5,829;7,437;8,411;8,216;8,925
andalucia;5.3.2.-Robos con violencia en viviendas;686;630;586;559;469;605;571;568;591;524;560;695;715;602;670
andalucia;5.3.3.-Robos con violencia en establecimientos;1,161;1,195;1,107;871;971;1,163;1,128;1,146;956;931;1,091;1,410;1,382;1,296;1,699
andalucia;5.4.-Sustraccion de vehiculos;6,065;5,957;5,578;4,848;4,821;6,511;6,872;8,755;8,835;9,008;8,312;9,125;11,294;12,037;14,065
andalucia;5.5.-Estafas;83,266;84,455;71,465;51,085;47,474;42,358;37,843;25,204;21,551;19,406;16,982;15,064;15,579;15,119;12,900
andalucia;5.5.1.-Estafas informaticas;71,252;72,795;49,323;35,288;33,036;23,237;15,081;10,366;8,165;6,536;5,666;4,481;4,378;3,609;3,433
andalucia;5.6.-Danos;34,845;35,037;34,850;31,827;28,242;33,332;34,236;35,372;34,528;33,579;34,646;36,487;41,013;42,657;44,486
andalucia;5.7.-Contra la propiedad intelectual/industrial;423;332;177;217;240;439;564;445;523;526;763;971;830;579;809
andalucia;5.8.-Blanqueo de capitales;175;106;107;86;72;82;82;61;57;71;88;71;53;46;49
andalucia;5.9.-Otros contra el patrimonio;12,870;12,380;12,247;10,421;10,016;10,847;10,706;8,478;6,464;7,036;6,844;5,977;4,784;4,010;3,375
