Comunidades y ciudades autónomas;Nacionalidad;Periodo;Total
01 andalucia;Española;1 de enero de 2025;7775800
01 andalucia;Española;1 de enero de 2024;7779071
01 andalucia;Española;1 de enero de 2023;7770423
01 andalucia;Española;1 de enero de 2022;7770450
01 andalucia;Española;1 de enero de 2021;7771404
01 andalucia;Española;1 de enero de 2020;7773538
01 andalucia;Española;1 de enero de 2019;7769724
01 andalucia;Española;1 de enero de 2018;7771631
01 andalucia;Española;1 de enero de 2017;7778829
01 andalucia;Española;1 de enero de 2016;7770779
01 andalucia;Española;1 de enero de 2015;7767561
01 andalucia;País de la UE28 sin España;1 de enero de 2025;
01 andalucia;País de la UE28 sin España;1 de enero de 2024;
01 andalucia;País de la UE28 sin España;1 de enero de 2023;
01 andalucia;País de la UE28 sin España;1 de enero de 2022;
01 andalucia;País de la UE28 sin España;1 de enero de 2021;
01 andalucia;País de la UE28 sin España;1 de enero de 2020;290215
01 andalucia;País de la UE28 sin España;1 de enero de 2019;284394
01 andalucia;País de la UE28 sin España;1 de enero de 2018;290584
01 andalucia;País de la UE28 sin España;1 de enero de 2017;298464
01 andalucia;País de la UE28 sin España;1 de enero de 2016;306044
01 andalucia;País de la UE28 sin España;1 de enero de 2015;310465
01 andalucia;De Africa;1 de enero de 2025;238862
01 andalucia;De Africa;1 de enero de 2024;223183
01 andalucia;De Africa;1 de enero de 2023;220341
01 andalucia;De Africa;1 de enero de 2022;208051
01 andalucia;De Africa;1 de enero de 2021;198191
01 andalucia;De Africa;1 de enero de 2020;189713
01 andalucia;De Africa;1 de enero de 2019;174883
01 andalucia;De Africa;1 de enero de 2018;164385
01 andalucia;De Africa;1 de enero de 2017;157483
01 andalucia;De Africa;1 de enero de 2016;156334
01 andalucia;De Africa;1 de enero de 2015;152031
01 andalucia;De Centro América y Caribe;1 de enero de 2025;42705
01 andalucia;De Centro América y Caribe;1 de enero de 2024;39647
01 andalucia;De Centro América y Caribe;1 de enero de 2023;3603
01 andalucia;De Centro América y Caribe;1 de enero de 2022;30167
01 andalucia;De Centro América y Caribe;1 de enero de 2021;28703
01 andalucia;De Centro América y Caribe;1 de enero de 2020;24814
01 andalucia;De Centro América y Caribe;1 de enero de 2019;18715
01 andalucia;De Centro América y Caribe;1 de enero de 2018;15571
01 andalucia;De Centro América y Caribe;1 de enero de 2017;13366
01 andalucia;De Centro América y Caribe;1 de enero de 2016;12896
01 andalucia;De Centro América y Caribe;1 de enero de 2015;12357
01 andalucia;De Sudamérica;1 de enero de 2025;185664
01 andalucia;De Sudamérica;1 de enero de 2024;160348
01 andalucia;De Sudamérica;1 de enero de 2023;133454
01 andalucia;De Sudamérica;1 de enero de 2022;102606
01 andalucia;De Sudamérica;1 de enero de 2021;97891
01 andalucia;De Sudamérica;1 de enero de 2020;90922
01 andalucia;De Sudamérica;1 de enero de 2019;77909
01 andalucia;De Sudamérica;1 de enero de 2018;71082
01 andalucia;De Sudamérica;1 de enero de 2017;66594
01 andalucia;De Sudamérica;1 de enero de 2016;69349
01 andalucia;De Sudamérica;1 de enero de 2015;7376
02 aragon;Española;1 de enero de 2025;1162191
02 aragon;Española;1 de enero de 2024;1160156
02 aragon;Española;1 de enero de 2023;1160245
02 aragon;Española;1 de enero de 2022;1162362
02 aragon;Española;1 de enero de 2021;1164547
02 aragon;Española;1 de enero de 2020;1168200
